U+08be	ࢾ	ARABIC LETTER PEH WITH SMALL V	None
U+08bf	ࢿ	ARABIC LETTER TEH WITH SMALL V	None
U+08c0	ࣀ	ARABIC LETTER TTEH WITH SMALL V	None
U+08c1	ࣁ	ARABIC LETTER TCHEH WITH SMALL V	None
U+08c2	ࣂ	ARABIC LETTER KEHEH WITH SMALL V	None
U+08c3	ࣃ	ARABIC LETTER GHAIN WITH THREE DOTS ABOVE	None
U+08c4	ࣄ	ARABIC LETTER AFRICAN QAF WITH THREE DOTS ABOVE	None
U+08c5	ࣅ	ARABIC LETTER JEEM WITH THREE DOTS ABOVE	None
U+08c6	ࣆ	ARABIC LETTER JEEM WITH THREE DOTS BELOW	None
U+08c7	ࣇ	ARABIC LETTER LAM WITH SMALL ARABIC LETTER TAH ABOVE	None
U+0b55	୕	ORIYA SIGN OVERLINE	None
U+0d04	ഄ	MALAYALAM LETTER VEDIC ANUSVARA	None
U+0d81	ඁ	SINHALA SIGN CANDRABINDU	None
U+1abf	ᪿ	COMBINING LATIN SMALL LETTER W BELOW	None
U+1ac0	ᫀ	COMBINING LATIN SMALL LETTER TURNED W BELOW	None
U+2b97	⮗	SYMBOL FOR TYPE A ELECTRONICS	None
U+2e50	⹐	CROSS PATTY WITH RIGHT CROSSBAR	None
U+2e51	⹑	CROSS PATTY WITH LEFT CROSSBAR	None
U+2e52	⹒	TIRONIAN SIGN CAPITAL ET	None
U+31bb	ㆻ	BOPOMOFO FINAL LETTER G	None
U+31bc	ㆼ	BOPOMOFO LETTER GW	None
U+31bd	ㆽ	BOPOMOFO LETTER KW	None
U+31be	ㆾ	BOPOMOFO LETTER OE	None
U+31bf	ㆿ	BOPOMOFO LETTER AH	None
U+4db6	䶶	CJK Ideograph Extension A	None
U+4db7	䶷	CJK Ideograph Extension A	None
U+4db8	䶸	CJK Ideograph Extension A	None
U+4db9	䶹	CJK Ideograph Extension A	None
U+4dba	䶺	CJK Ideograph Extension A	None
U+4dbb	䶻	CJK Ideograph Extension A	None
U+4dbc	䶼	CJK Ideograph Extension A	None
U+4dbd	䶽	CJK Ideograph Extension A	None
U+4dbe	䶾	CJK Ideograph Extension A	None
U+4dbf	䶿	CJK Ideograph Extension A	None
U+9ff0	鿰	CJK Ideograph	None
U+9ff1	鿱	CJK Ideograph	None
U+9ff2	鿲	CJK Ideograph	None
U+9ff3	鿳	CJK Ideograph	None
U+9ff4	鿴	CJK Ideograph	None
U+9ff5	鿵	CJK Ideograph	None
U+9ff6	鿶	CJK Ideograph	None
U+9ff7	鿷	CJK Ideograph	None
U+9ff8	鿸	CJK Ideograph	None
U+9ff9	鿹	CJK Ideograph	None
U+9ffa	鿺	CJK Ideograph	None
U+9ffb	鿻	CJK Ideograph	None
U+9ffc	鿼	CJK Ideograph	None
U+a7c7	Ꟈ	LATIN CAPITAL LETTER D WITH SHORT STROKE OVERLAY	None
U+a7c8	ꟈ	LATIN SMALL LETTER D WITH SHORT STROKE OVERLAY	None
U+a7c9	Ꟊ	LATIN CAPITAL LETTER S WITH SHORT STROKE OVERLAY	None
U+a7ca	ꟊ	LATIN SMALL LETTER S WITH SHORT STROKE OVERLAY	None
U+a7f5	Ꟶ	LATIN CAPITAL LETTER REVERSED HALF H	None
U+a7f6	ꟶ	LATIN SMALL LETTER REVERSED HALF H	None
U+a82c	꠬	SYLOTI NAGRI SIGN ALTERNATE HASANTA	None
U+ab68	ꭨ	LATIN SMALL LETTER TURNED R WITH MIDDLE TILDE	None
U+ab69	ꭩ	MODIFIER LETTER SMALL TURNED W	None
U+ab6a	꭪	MODIFIER LETTER LEFT TACK	None
U+ab6b	꭫	MODIFIER LETTER RIGHT TACK	None
U+1019c	𐆜	ASCIA SYMBOL	None
U+10e80	𐺀	YEZIDI LETTER ELIF	None
U+10e81	𐺁	YEZIDI LETTER BE	None
U+10e82	𐺂	YEZIDI LETTER PE	None
U+10e83	𐺃	YEZIDI LETTER PHE	None
U+10e84	𐺄	YEZIDI LETTER THE	None
U+10e85	𐺅	YEZIDI LETTER SE	None
U+10e86	𐺆	YEZIDI LETTER CIM	None
U+10e87	𐺇	YEZIDI LETTER CHIM	None
U+10e88	𐺈	YEZIDI LETTER CHHIM	None
U+10e89	𐺉	YEZIDI LETTER HHA	None
U+10e8a	𐺊	YEZIDI LETTER XA	None
U+10e8b	𐺋	YEZIDI LETTER DAL	None
U+10e8c	𐺌	YEZIDI LETTER ZAL	None
U+10e8d	𐺍	YEZIDI LETTER RA	None
U+10e8e	𐺎	YEZIDI LETTER RHA	None
U+10e8f	𐺏	YEZIDI LETTER ZA	None
U+10e90	𐺐	YEZIDI LETTER JA	None
U+10e91	𐺑	YEZIDI LETTER SIN	None
U+10e92	𐺒	YEZIDI LETTER SHIN	None
U+10e93	𐺓	YEZIDI LETTER SAD	None
U+10e94	𐺔	YEZIDI LETTER DAD	None
U+10e95	𐺕	YEZIDI LETTER TA	None
U+10e96	𐺖	YEZIDI LETTER ZE	None
U+10e97	𐺗	YEZIDI LETTER EYN	None
U+10e98	𐺘	YEZIDI LETTER XHEYN	None
U+10e99	𐺙	YEZIDI LETTER FA	None
U+10e9a	𐺚	YEZIDI LETTER VA	None
U+10e9b	𐺛	YEZIDI LETTER VA ALTERNATE FORM	None
U+10e9c	𐺜	YEZIDI LETTER QAF	None
U+10e9d	𐺝	YEZIDI LETTER KAF	None
U+10e9e	𐺞	YEZIDI LETTER KHAF	None
U+10e9f	𐺟	YEZIDI LETTER GAF	None
U+10ea0	𐺠	YEZIDI LETTER LAM	None
U+10ea1	𐺡	YEZIDI LETTER MIM	None
U+10ea2	𐺢	YEZIDI LETTER NUN	None
U+10ea3	𐺣	YEZIDI LETTER UM	None
U+10ea4	𐺤	YEZIDI LETTER WAW	None
U+10ea5	𐺥	YEZIDI LETTER OW	None
U+10ea6	𐺦	YEZIDI LETTER EW	None
U+10ea7	𐺧	YEZIDI LETTER HAY	None
U+10ea8	𐺨	YEZIDI LETTER YOT	None
U+10ea9	𐺩	YEZIDI LETTER ET	None
U+10eab	𐺫	YEZIDI COMBINING HAMZA MARK	None
U+10eac	𐺬	YEZIDI COMBINING MADDA MARK	None
U+10ead	𐺭	YEZIDI HYPHENATION MARK	None
U+10eb0	𐺰	YEZIDI LETTER LAM WITH DOT ABOVE	None
U+10eb1	𐺱	YEZIDI LETTER YOT WITH CIRCUMFLEX ABOVE	None
U+10fb0	𐾰	CHORASMIAN LETTER ALEPH	None
U+10fb1	𐾱	CHORASMIAN LETTER SMALL ALEPH	None
U+10fb2	𐾲	CHORASMIAN LETTER BETH	None
U+10fb3	𐾳	CHORASMIAN LETTER GIMEL	None
U+10fb4	𐾴	CHORASMIAN LETTER DALETH	None
U+10fb5	𐾵	CHORASMIAN LETTER HE	None
U+10fb6	𐾶	CHORASMIAN LETTER WAW	None
U+10fb7	𐾷	CHORASMIAN LETTER CURLED WAW	None
U+10fb8	𐾸	CHORASMIAN LETTER ZAYIN	None
U+10fb9	𐾹	CHORASMIAN LETTER HETH	None
U+10fba	𐾺	CHORASMIAN LETTER YODH	None
U+10fbb	𐾻	CHORASMIAN LETTER KAPH	None
U+10fbc	𐾼	CHORASMIAN LETTER LAMEDH	None
U+10fbd	𐾽	CHORASMIAN LETTER MEM	None
U+10fbe	𐾾	CHORASMIAN LETTER NUN	None
U+10fbf	𐾿	CHORASMIAN LETTER SAMEKH	None
U+10fc0	𐿀	CHORASMIAN LETTER AYIN	None
U+10fc1	𐿁	CHORASMIAN LETTER PE	None
U+10fc2	𐿂	CHORASMIAN LETTER RESH	None
U+10fc3	𐿃	CHORASMIAN LETTER SHIN	None
U+10fc4	𐿄	CHORASMIAN LETTER TAW	None
U+10fc5	𐿅	CHORASMIAN NUMBER ONE	None
U+10fc6	𐿆	CHORASMIAN NUMBER TWO	None
U+10fc7	𐿇	CHORASMIAN NUMBER THREE	None
U+10fc8	𐿈	CHORASMIAN NUMBER FOUR	None
U+10fc9	𐿉	CHORASMIAN NUMBER TEN	None
U+10fca	𐿊	CHORASMIAN NUMBER TWENTY	None
U+10fcb	𐿋	CHORASMIAN NUMBER ONE HUNDRED	None
U+11147	𑅇	CHAKMA LETTER VAA	None
U+111ce	𑇎	SHARADA VOWEL SIGN PRISHTHAMATRA E	None
U+111cf	𑇏	SHARADA SIGN INVERTED CANDRABINDU	None
U+1145a	𑑚	NEWA DOUBLE COMMA	None
U+11460	𑑠	NEWA SIGN JIHVAMULIYA	None
U+11461	𑑡	NEWA SIGN UPADHMANIYA	None
U+11900	𑤀	DIVES AKURU LETTER A	None
U+11901	𑤁	DIVES AKURU LETTER AA	None
U+11902	𑤂	DIVES AKURU LETTER I	None
U+11903	𑤃	DIVES AKURU LETTER II	None
U+11904	𑤄	DIVES AKURU LETTER U	None
U+11905	𑤅	DIVES AKURU LETTER UU	None
U+11906	𑤆	DIVES AKURU LETTER E	None
U+11909	𑤉	DIVES AKURU LETTER O	None
U+1190c	𑤌	DIVES AKURU LETTER KA	None
U+1190d	𑤍	DIVES AKURU LETTER KHA	None
U+1190e	𑤎	DIVES AKURU LETTER GA	None
U+1190f	𑤏	DIVES AKURU LETTER GHA	None
U+11910	𑤐	DIVES AKURU LETTER NGA	None
U+11911	𑤑	DIVES AKURU LETTER CA	None
U+11912	𑤒	DIVES AKURU LETTER CHA	None
U+11913	𑤓	DIVES AKURU LETTER JA	None
U+11915	𑤕	DIVES AKURU LETTER NYA	None
U+11916	𑤖	DIVES AKURU LETTER TTA	None
U+11918	𑤘	DIVES AKURU LETTER DDA	None
U+11919	𑤙	DIVES AKURU LETTER DDHA	None
U+1191a	𑤚	DIVES AKURU LETTER NNA	None
U+1191b	𑤛	DIVES AKURU LETTER TA	None
U+1191c	𑤜	DIVES AKURU LETTER THA	None
U+1191d	𑤝	DIVES AKURU LETTER DA	None
U+1191e	𑤞	DIVES AKURU LETTER DHA	None
U+1191f	𑤟	DIVES AKURU LETTER NA	None
U+11920	𑤠	DIVES AKURU LETTER PA	None
U+11921	𑤡	DIVES AKURU LETTER PHA	None
U+11922	𑤢	DIVES AKURU LETTER BA	None
U+11923	𑤣	DIVES AKURU LETTER BHA	None
U+11924	𑤤	DIVES AKURU LETTER MA	None
U+11925	𑤥	DIVES AKURU LETTER YA	None
U+11926	𑤦	DIVES AKURU LETTER YYA	None
U+11927	𑤧	DIVES AKURU LETTER RA	None
U+11928	𑤨	DIVES AKURU LETTER LA	None
U+11929	𑤩	DIVES AKURU LETTER VA	None
U+1192a	𑤪	DIVES AKURU LETTER SHA	None
U+1192b	𑤫	DIVES AKURU LETTER SSA	None
U+1192c	𑤬	DIVES AKURU LETTER SA	None
U+1192d	𑤭	DIVES AKURU LETTER HA	None
U+1192e	𑤮	DIVES AKURU LETTER LLA	None
U+1192f	𑤯	DIVES AKURU LETTER ZA	None
U+11930	𑤰	DIVES AKURU VOWEL SIGN AA	None
U+11931	𑤱	DIVES AKURU VOWEL SIGN I	None
U+11932	𑤲	DIVES AKURU VOWEL SIGN II	None
U+11933	𑤳	DIVES AKURU VOWEL SIGN U	None
U+11934	𑤴	DIVES AKURU VOWEL SIGN UU	None
U+11935	𑤵	DIVES AKURU VOWEL SIGN E	None
U+11937	𑤷	DIVES AKURU VOWEL SIGN AI	None
U+11938	𑤸	DIVES AKURU VOWEL SIGN O	None
U+1193b	𑤻	DIVES AKURU SIGN ANUSVARA	None
U+1193c	𑤼	DIVES AKURU SIGN CANDRABINDU	None
U+1193d	𑤽	DIVES AKURU SIGN HALANTA	None
U+1193e	𑤾	DIVES AKURU VIRAMA	None
U+1193f	𑤿	DIVES AKURU PREFIXED NASAL SIGN	None
U+11940	𑥀	DIVES AKURU MEDIAL YA	None
U+11941	𑥁	DIVES AKURU INITIAL RA	None
U+11942	𑥂	DIVES AKURU MEDIAL RA	None
U+11943	𑥃	DIVES AKURU SIGN NUKTA	None
U+11944	𑥄	DIVES AKURU DOUBLE DANDA	None
U+11945	𑥅	DIVES AKURU GAP FILLER	None
U+11946	𑥆	DIVES AKURU END OF TEXT MARK	None
U+11950	𑥐	DIVES AKURU DIGIT ZERO	None
U+11951	𑥑	DIVES AKURU DIGIT ONE	None
U+11952	𑥒	DIVES AKURU DIGIT TWO	None
U+11953	𑥓	DIVES AKURU DIGIT THREE	None
U+11954	𑥔	DIVES AKURU DIGIT FOUR	None
U+11955	𑥕	DIVES AKURU DIGIT FIVE	None
U+11956	𑥖	DIVES AKURU DIGIT SIX	None
U+11957	𑥗	DIVES AKURU DIGIT SEVEN	None
U+11958	𑥘	DIVES AKURU DIGIT EIGHT	None
U+11959	𑥙	DIVES AKURU DIGIT NINE	None
U+11fb0	𑾰	LISU LETTER YHA	None
U+16fe4	𖿤	KHITAN SMALL SCRIPT FILLER	None
U+16ff0	𖿰	VIETNAMESE ALTERNATE READING MARK CA	None
U+16ff1	𖿱	VIETNAMESE ALTERNATE READING MARK NHAY	None
U+18af3	𘫳	TANGUT COMPONENT-756	None
U+18af4	𘫴	TANGUT COMPONENT-757	None
